,Image,Artist,Work,CP Hex1,CP Hex2,CP Hex3,CP Hex4,CP Hex5,CP Hex6,Image_Category,Unique_Color
51,https://en.most-famous-paintings.com/Art.nsf/O/8XZ2C2/$File/Suzanne-Valadon-The-Blue-Room-S.jpg,Suzanne Valadon, The Blue Room ,#d3c5ac,#363b4f,#acb9c3,#978a74,#5a4338,#586a93,Blueish,#c92a1a
52,https://en.most-famous-paintings.com/Art.nsf/O/5ZKG3V/$File/Vincent-Van-Gogh-Self-Portrait-2--S.JPG,Vincent Van Gogh, Self Portrait ,#3e371d,#63909d,#ca9b46,#886c34,#507560,#3a4a5b,Brownish,#23419b
53,https://en.most-famous-paintings.com/Art.nsf/O/8XY67N/$File/Gustave-Caillebotte-Man-at-the-Window-S.jpg,Gustave Caillebotte, Man at the Window ,#5d5144,#192524,#ded0b7,#32362c,#bac2cf,#a0927d,Brownish,
54,https://en.most-famous-paintings.com/Art.nsf/O/9GZN5H/$File/Leonardo-Da-Vinci-Vitruvian-Man-S.jpg,Leonardo Da Vinci, Vitruvian Man ,#dabd96,#f9e7c6,#a07e51,#b79a6f,#ecd2ac,#c8ac84,Brownish,
55,https://en.most-famous-paintings.com/Art.nsf/O/8XYPH9/$File/Pablo-Picasso-A-boy-with-pipe-S.JPG,Pablo Picasso, A boy with pipe ,#614f58,#a04c2f,#3f2f38,#443b51,#c48556,#6d3f31,Brownish,#50357c
56,https://en.most-famous-paintings.com/Art.nsf/O/8EWRAW/$File/Rene-Magritte-The-seductive-S.JPG,Rene Magritte, The seductive ,#1f2675,#9097a8,#475091,#b5bab5,#6e779a,#343c86,Blueish,
57,https://en.most-famous-paintings.com/Art.nsf/O/8XYVAT/$File/Salvador-Dali-Premonition-of-Civil-War-2--S.JPG,Salvador Dali, Premonition of Civil War ,#482915,#dfcc68,#f8ec8b,#2e1217,#816333,#b69e54,Brownish,
58,https://en.most-famous-paintings.com/Art.nsf/O/8XYU6E/$File/Rene-Magritte-The-meaning-of-night-S.JPG,Rene Magritte, The meaning of night ,#bdc1a9,#24272d,#818893,#cbd5d9,#6c6d61,#464a52,White-ish,#97651b
59,https://en.most-famous-paintings.com/Art.nsf/O/8XYNM4/$File/Pablo-Picasso-Portrait-of-Daniel-Henry-Kahnweiler-S.JPG,Pablo Picasso, Portrait of Daniel-Henry Kahnweiler ,#8c7258,#3c2917,#a58b74,#715940,#594329,#bda691,Brownish,#973f1b
60,https://en.most-famous-paintings.com/Art.nsf/O/5ZKGEC/$File/Vincent-Van-Gogh-Haystacks-in-Provence-S.jpg,Vincent Van Gogh, Haystacks in Provence ,#6b5229,#e4a640,#b1c6d8,#cfc491,#bc7532,#5e6175,Brownish,#5bd218
61,https://en.most-famous-paintings.com/Art.nsf/O/5ZKCVS/$File/Wassily-Kandinsky-Composition-VII-S.JPG,Wassily Kandinsky, Composition VII ,#b8641b,#2e404a,#e3ca8e,#713041,#a28b63,#563f25,Yellowish,#2dc694
